departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,01,06,00,2017,07,01,06,07,2017,07,01,07,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,01,07,00,2017,07,01,07,01,2017,07,01,08,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,01,08,00,2017,07,01,08,09,2017,07,01,09,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,01,09,00,2017,07,01,09,01,2017,07,01,10,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,01,10,00,2017,07,01,10,02,2017,07,01,11,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,01,11,00,2017,07,01,11,05,2017,07,01,12,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,01,14,00,2017,07,01,14,03,2017,07,01,15,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,01,15,00,2017,07,01,15,01,2017,07,01,16,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,01,16,00,2017,07,01,16,02,2017,07,01,17,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,01,17,00,2017,07,01,17,01,2017,07,01,18,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,01,18,00,2017,07,01,18,00,2017,07,01,19,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,01,19,00,2017,07,01,19,25,2017,07,01,20,52
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,01,20,00,2017,07,01,20,02,2017,07,01,21,24
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,01,21,00,2017,07,01,21,01,2017,07,01,22,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,01,06,00,2017,07,01,06,03,2017,07,01,07,38
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,01,07,00,2017,07,01,07,01,2017,07,01,08,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,01,08,00,2017,07,01,08,05,2017,07,01,09,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,01,09,00,2017,07,01,09,00,2017,07,01,10,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,01,10,00,2017,07,01,10,03,2017,07,01,11,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,01,11,00,2017,07,01,11,00,2017,07,01,12,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,01,12,00,2017,07,01,12,02,2017,07,01,13,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,01,13,00,2017,07,01,13,01,2017,07,01,14,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,01,14,00,2017,07,01,14,02,2017,07,01,15,36
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,01,15,00,2017,07,01,15,00,2017,07,01,16,30
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,01,16,00,2017,07,01,15,59,2017,07,01,17,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,01,17,00,2017,07,01,17,01,2017,07,01,18,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,01,18,00,2017,07,01,18,02,2017,07,01,19,40
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,01,19,00,2017,07,01,18,59,2017,07,01,20,26
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,01,20,00,2017,07,01,19,59,2017,07,01,21,20
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,01,21,00,2017,07,01,21,11,2017,07,01,22,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,02,07,00,2017,07,02,07,02,2017,07,02,08,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,02,08,00,2017,07,02,08,02,2017,07,02,09,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,02,09,00,2017,07,02,09,01,2017,07,02,10,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,02,10,00,2017,07,02,10,05,2017,07,02,11,36
